20150101 175900;1.210190;1.210190;1.210150;1.210160;0
20150101 180000;1.210160;1.210170;1.210050;1.210060;0
20150101 180100;1.210070;1.210100;1.210050;1.210100;0
20150101 180200;1.210100;1.210110;1.210100;1.210100;0
20150101 180300;1.210120;1.210120;1.209990;1.210050;0
20150101 180400;1.210050;1.210110;1.210050;1.210070;0
20150101 180500;1.210070;1.210070;1.210050;1.210050;0
20150101 180600;1.210060;1.210140;1.210060;1.210100;0
20150101 180700;1.210050;1.210150;1.210000;1.210030;0
20150101 180800;1.210030;1.210080;1.210000;1.210080;0
20150101 180900;1.210060;1.210100;1.209980;1.210100;0
20150101 181000;1.210100;1.210140;1.209920;1.209940;0
20150101 181100;1.209920;1.210070;1.209920;1.210070;0
20150101 181200;1.210070;1.210080;1.210020;1.210080;0
20150101 181300;1.210060;1.210060;1.209800;1.209810;0
20150101 181400;1.209960;1.210040;1.209870;1.210040;0
20150101 181500;1.210040;1.210040;1.209790;1.209800;0
20150101 181600;1.209810;1.209870;1.209800;1.209860;0
20150101 181700;1.209940;1.210020;1.209890;1.210020;0
20150101 181800;1.210010;1.210030;1.210000;1.210030;0
20150101 181900;1.209990;1.210020;1.209980;1.209990;0
20150101 182000;1.210010;1.210040;1.209940;1.209940;0
20150101 182100;1.209970;1.209970;1.209940;1.209940;0
20150101 182200;1.209810;1.210010;1.209800;1.209860;0
20150101 182300;1.209840;1.209840;1.209810;1.209830;0
20150101 182400;1.209760;1.209820;1.209660;1.209660;0
20150101 182500;1.209640;1.209690;1.208330;1.208480;0
20150101 182600;1.208450;1.208940;1.208040;1.208040;0
20150101 182700;1.208070;1.208470;1.208050;1.208220;0
20150101 182800;1.208210;1.208490;1.208080;1.208300;0
20150101 182900;1.208330;1.208600;1.208310;1.208320;0
20150101 183000;1.208320;1.208330;1.207960;1.208020;0
20150101 183100;1.207950;1.208050;1.207830;1.208050;0
20150101 183200;1.208050;1.208340;1.208030;1.208240;0
20150101 183300;1.208260;1.208400;1.208230;1.208290;0
20150101 183400;1.208320;1.208420;1.207870;1.207950;0
20150101 183500;1.207970;1.208350;1.207970;1.208310;0
20150101 183600;1.208320;1.208410;1.208080;1.208280;0
20150101 183700;1.208240;1.208590;1.208180;1.208240;0
20150101 183800;1.208210;1.208260;1.208110;1.208110;0
20150101 183900;1.208110;1.208160;1.208020;1.208060;0
20150101 184000;1.208060;1.208110;1.208010;1.208060;0
20150101 184100;1.208070;1.208280;1.208070;1.208280;0
20150101 184200;1.208310;1.208480;1.208290;1.208300;0
20150101 184300;1.208310;1.208310;1.208050;1.208050;0
20150101 184400;1.208030;1.208370;1.208030;1.208310;0
20150101 184500;1.208270;1.208270;1.208230;1.208250;0
20150101 184600;1.208270;1.208320;1.208270;1.208280;0
20150101 184700;1.208270;1.208360;1.208270;1.208350;0
20150101 184800;1.208350;1.208450;1.208350;1.208370;0
20150101 184900;1.208380;1.208440;1.208350;1.208350;0
20150101 185000;1.208340;1.208360;1.208340;1.208350;0
20150101 185100;1.208370;1.208460;1.208350;1.208450;0
20150101 185200;1.208460;1.208560;1.208460;1.208550;0
20150101 185300;1.208560;1.208760;1.208560;1.208760;0
20150101 185400;1.208740;1.208870;1.208740;1.208870;0
20150101 185500;1.208870;1.208900;1.208690;1.208730;0
20150101 185600;1.208740;1.208760;1.208680;1.208710;0
20150101 185700;1.208730;1.209010;1.208730;1.208960;0
20150101 185800;1.208980;1.209140;1.208970;1.209000;0
20150101 185900;1.209010;1.209040;1.208650;1.208660;0
20150101 190000;1.208680;1.208770;1.208680;1.208730;0
20150101 190100;1.208710;1.208820;1.208660;1.208680;0
20150101 190200;1.208710;1.208770;1.208710;1.208770;0
20150101 190300;1.208760;1.208880;1.208760;1.208840;0
20150101 190400;1.208830;1.208850;1.208790;1.208790;0
20150101 190500;1.208820;1.208830;1.208790;1.208830;0
20150101 190600;1.208800;1.208800;1.208450;1.208450;0
20150101 190700;1.208440;1.208500;1.208430;1.208440;0
20150101 190800;1.208430;1.208440;1.208430;1.208440;0
20150101 190900;1.208430;1.208440;1.208400;1.208420;0
20150101 191000;1.208470;1.208470;1.208420;1.208430;0
20150101 191100;1.208430;1.208440;1.208430;1.208440;0
20150101 191200;1.208440;1.208460;1.208430;1.208440;0
20150101 191300;1.208440;1.208450;1.208420;1.208430;0
20150101 191400;1.208420;1.208430;1.208420;1.208420;0
20150101 191500;1.208410;1.208450;1.208410;1.208450;0
20150101 191600;1.208440;1.208560;1.208440;1.208520;0
20150101 191700;1.208530;1.208540;1.208470;1.208480;0
20150101 191800;1.208490;1.208540;1.208490;1.208530;0
20150101 191900;1.208550;1.208570;1.208550;1.208570;0
20150101 192000;1.208590;1.208640;1.208560;1.208560;0
